11,87.3,122,1,8
147,80,129.9,1,9
304,71.8,141.3,1,10
427,65.6,154.5,1,11
483,61.9,169.4,1,12
490,61.3,185,1,13
427,63.9,200.3,1,14
319,69.3,214.1,1,15
197,76.9,226.2,1,16
21,85.6,236.3,1,17
10,87.3,121.8,2,8
130,80,129.8,2,9
264,71.8,141.2,2,10
414,65.5,154.4,2,11
457,61.9,169.2,2,12
484,61.2,184.9,2,13
426,63.8,200.2,2,14
337,69.2,214,2,15
197,76.7,226.1,2,16
40,85.6,236.4,2,17
5,87.3,121.7,3,8
67,80,129.6,3,9
113,71.8,141,3,10
96,65.5,154.2,3,11
147,61.8,169.1,3,12
210,61.1,184.8,3,13
411,63.7,200.1,3,14
274,69,214,3,15
197,76.6,226.1,3,16
48,85.5,236.4,3,17
4,87.3,121.6,4,8
52,80,129.5,4,9
132,71.8,140.9,4,10
135,65.4,154.1,4,11
291,61.7,169,4,12
468,61,184.7,4,13
411,63.5,200,4,14
337,68.9,214,4,15
201,76.4,226.1,4,16
48,85.4,236.5,4,17
5,87.3,121.4,5,8
69,80,129.3,5,9
182,71.7,140.7,5,10
276,65.4,153.9,5,11
370,61.6,168.8,5,12
303,60.9,184.6,5,13
213,63.4,199.9,5,14
188,68.7,213.9,5,15
141,76.3,226.1,5,16
38,85.3,236.6,5,17
0,90,241.4,5,18
4,87.3,121.2,6,8
52,80,129.2,6,9
65,71.7,140.6,6,10
70,65.3,153.8,6,11
81,61.5,168.7,6,12
85,60.8,184.5,6,13
84,63.3,199.9,6,14
110,68.6,213.9,6,15
37,76.1,226.1,6,16
24,85.2,236.6,6,17
0,90,241.5,6,18
9,87.3,121.1,7,8
118,79.9,129,7,9
82,71.6,140.4,7,10
137,65.2,153.6,7,11
330,61.4,168.5,7,12
479,60.6,184.4,7,13
414,63.1,199.8,7,14
253,68.4,213.9,7,15
162,76,226.1,7,16
47,85,236.6,7,17
0,89.8,241.5,7,18
9,87.3,120.9,8,8
115,79.9,128.8,8,9
257,71.6,140.3,8,10
359,65.1,153.5,8,11
376,61.3,168.4,8,12
433,60.5,184.3,8,13
399,62.9,199.7,8,14
321,68.3,213.8,8,15
193,75.8,226.1,8,16
56,84.9,236.6,8,17
0,89.8,241.6,8,18
8,87.3,120.7,9,8
110,79.9,128.7,9,9
249,71.5,140.1,9,10
362,65,153.3,9,11
426,61.1,168.3,9,12
420,60.4,184.2,9,13
359,62.8,199.7,9,14
341,68.1,213.8,9,15
143,75.6,226.1,9,16
61,84.7,236.7,9,17
0,89.7,241.8,9,18
2,87.3,120.5,10,8
25,79.8,128.5,10,9
57,71.4,139.9,10,10
71,64.9,153.2,10,11
84,61,168.1,10,12
85,60.2,184.1,10,13
91,62.6,199.6,10,14
92,67.9,213.8,10,15
71,75.4,226.1,10,16
30,84.5,236.7,10,17
0,89.6,241.9,10,18
8,87.3,120.3,11,8
104,79.8,128.3,11,9
228,71.3,139.8,11,10
344,64.8,153,11,11
415,60.9,168,11,12
427,60,184,11,13
405,62.4,199.6,11,14
333,67.7,213.8,11,15
231,75.3,226.1,11,16
67,84.4,236.8,11,17
0,89.5,242,11,18
3,87.2,120.1,12,8
36,79.7,128.2,12,9
205,71.2,139.6,12,10
72,64.7,152.9,12,11
173,60.7,167.9,12,12
222,59.9,183.9,12,13
81,62.3,199.5,12,14
214,67.5,213.8,12,15
111,75.1,226.2,12,16
41,84.2,236.8,12,17
0,89.5,242.2,12,18
8,87.2,120,13,8
104,79.6,128,13,9
233,71.1,139.4,13,10
332,64.6,152.7,13,11
427,60.6,167.7,13,12
483,59.7,183.8,13,13
403,62.1,199.5,13,14
346,67.3,213.8,13,15
237,74.9,226.2,13,16
75,84,236.9,13,17
0,89.4,242.3,13,18
3,87.2,119.7,14,8
35,79.6,127.8,14,9
83,71,139.2,14,10
364,64.4,152.5,14,11
300,60.4,167.6,14,12
428,59.5,183.7,14,13
407,61.9,199.5,14,14
264,67.1,213.8,14,15
196,74.7,226.2,14,16
49,83.8,236.9,14,17
0,89.3,242.5,14,18
11,87.2,119.5,15,8
